temp_candidates,left5,left4,left3,left2,left1,right1,right2,right3,right4,right5,category,sub_category,wtl1,wtr1,wttc,word_length,beginning_or_not
santa clara,bvs,;,abbott,vascular,",",",",ca,",",usa,),T,T,",",",",NN,11,0
marlborough,system,(,boston,scientific,",",",",ma,",",usa,),T,T,",",",",NN,11,0
cincinnati,new,york,city,",",greater,",",ohio,and,the,bay,T,T,JJR,",",NN,10,0
irvine,24,university,of,california,",",",",(,uci,),datasets,T,T,",",",",NN,6,0
irvine,sets,from,university,of,california-,machine,learning,repository,",",a,T,T,NN,NN,NN,6,0
lima,carolina,g,.,s,.,et,al,.,",",chem,T,T,.,NN,NN,4,0
eddy,modelling,using,a,time-resolved,large,simulation,(,les,),method,F,M,JJ,NN,NN,4,0
many,^,^,^,^,^,legume,species,",",including,phaseolus,F,G,NN,NN,JJ,4,1
kyoto,",",go,term,enrichment,and,encyclopedia,of,genes,and,genomes,F,M,CC,NN,NN,5,0
shenzhen,practical,screening,assay,for,ten,china,common,pneumococcal,serotypes/serogroups,in,T,T,NNS,NN,NN,8,0
irvine,",",an,allergan,company,",",",",ca,),is,a,T,T,",",",",NN,6,0
oxford,medline,",",embase,",",the,pain,relief,database,",",two,F,D,DT,NN,NN,6,0
maputo,observational,study,was,conducted,in,",",mozambique,",",to,investigate,T,T,IN,",",NN,6,0
wa,demand,in,western,australia,(,),and,compare,them,to,T,T,(,),NN,2,0
atlanta,in,the,northwestern,section,of,",",georgia,alongside,other,industries,T,T,IN,",",NN,7,0
quebec,areas,of,northeastern,canada,(,),.,$,$,$,T,T,(,),NN,6,0
quebec,boreal,and,subarctic,zone,of,(,northeastern,canada,),is,T,T,IN,(,NN,6,0
hamilton,(,sidi-f,),",",and,depression,scale,(,hds,),T,T,CC,NN,NN,8,0
banff,of,rejection,(,all,acute,scores,=,0,),",",F,M,NN,NNS,NN,5,0
santa barbara,conversion,catalysis,project,with,uc,funded,by,the,first,nsf,F,M,NN,VBN,NN,13,0
cold spring harbor,albert,kelner,while,at,the,laboratories,in,upstate,new,york,T,T,DT,NNS,JJ,18,0
